,stars,name,feedback,gender,num_words
239,5,слабинский петр,Хорошее качество  немного размер меньше нужного  хотелось чуть больше  посвободнее  но не было в наличии ,M,15
243,5,Острецов Михаил,Качество на высоте,M,3
244,5,Острецов Михаил,Качество на высоте,M,3
259,5,Игорь,Хорошая футболка за такую цену ,M,5
260,5,Самир,Футболка хорошая для повседневки работы самое то  Размер не большемерит  И не маломерки,M,13
261,5,Камиль,Хорошая футболка ,M,2
266,4,Алексеев Николай,Неплохая футболка за свою цену,M,5
281,5,дмитрий,Майка норм  Жаль что закончились  ураал только одну ,M,8
292,5,Алексей,Good ,M,1
293,5,Данил,Отличная футболка  за свою цену,M,5
296,5,денис,Отличная футболка для зала  смотрится красиво и материал приятный телу ,M,10
298,5,Разин Александр,Отличная футболка  синтетика 100  Для тренировки самое то  Цвет и крой отличные ,M,12
303,5,Владимир,👍,M,1
306,5,Смирнов Алексей,Хорошее качество 👍 немного маломерит  Забрал ,M,6
308,5,Смирнов Алексей,Отличная футболка  достойное качество  Маломерит немного ,M,6
312,5,Карен,👍👍👍,M,1
313,1,роман,очень тонкая  отказ ,M,3
316,5,Литяев Дмитрий,👍,M,1
318,5,ильяс,Классная футболка,M,2
320,5,Алексей,👍🏿,M,1
321,5,Александр,Размер подошёл  Качество бомба,M,4
323,3,Максим,Так себе,M,2
324,5,Тимур,Супер  соответствует описанию,M,3
325,5,Руслан,хорошее качество,M,2
326,5,Сергей,Качество хорошее ,M,2
328,4,Иван,Вроде бы всё хорошо  но есть сомнения в оригинальности товара  Отсутствует бирка на шее,M,14
330,5,Иванов Евгений,Отличная по качеству футболка  По ощущениям немного больше эластана в составе чем заявлено  но это не минус а скорее плюс,M,20
334,5,Алексей,👍🏿,M,1
335,5,Дан,Потрясающее качество,M,2
339,5,Александр,Качество как 5к,M,3
346,5,хуан,хорошо,M,1
351,5,Бауыржан,👍,M,1
352,4,Расул,Качество хорошее  жаль не подошёл размер ,M,6
353,5,александр,Качественно,M,1
354,5,Дмитрий,Качество отличное  когда заказывал думал одна придет  оказалась две в комплекте  вдвойне приятно удивлен,M,14
355,5,Юрий,Приятная на ощупь ткань  удобная приталенная модель на спортивное телосложение ,M,10
356,5,Александр,Качественные футболки,M,2
357,5,Александр,Качество хорошая,M,2
360,5,Сергей,Отличного качества ,M,2
364,5,Жанболат,Классная футболка  Покупкой доволен  👍,M,5
365,5,Виктор,Отлично ,M,1
367,5,Гладков Анатолий,Качество на пять  дизайн идеальный  Советую брать ,M,7
368,5,Денис,Хорошие базовые футболки  Качество не топ но соответствует цене ,M,9
369,5,Александр,Качественный текстиль  Размер европейский,M,4
371,5,Павел,👍🏻,M,1
372,5,Павел,Хорошая  качественная футболка,M,3
377,5,Дмитрий,В размер  Свободная  классное качество,M,5
378,2,Марат,Рукава сильно торчат,M,3
381,5,Роман,Футболка прекрасная  Качественный материал  аккуратно сшито  Всем рекомендую  Идёт размер в размер  100  хлопок,M,14
382,5,Григорьев Евгений,👍,M,1
383,5,Климин Андрей,Супер ,M,1
384,5,Климин Андрей,Супер ,M,1
385,5,Олег,Качество хорошее  классическая Майка с v вырезом  как я люблю  Покупкой доволен  размер соответствует ,M,14
390,5,Андрей,Как уже писал ранее в отзыве от 12  04  футболка мягкая  хорошего качества  свободная  с широким v  образным вырезом  что удобно для астматиков  вроде меня  Хорошо подойдет для домашнего использования  прогулок под толстую кофту осенью или легкую куртку весной  либо поездок на велосипеде в теплую летнюю погоду  Поскольку похудел с апреля  заказал на размер меньше  европейский XL точно соответствует моему 52 российскому  Выкупил  рекомендую  заказал еще пару ,M,67
392,5,Алишер,Хорошее качество ,M,2
393,5,Рональд,Приятные базовые футболки,M,3
399,5,Антон,Отличные за свои деньги 👍🏻,M,5
400,5,Виталий,Качество супер рекомендую,M,3
401,5,Влад,Все отлично как в описании ,M,5
402,5,Алексей,👍🏿,M,1
404,5,станислав,Все прекрасно  Спасибо,M,3
412,5,Михаил,Ткань и рисунок качественный,M,4
415,5,Кошкин Александр,Прекрасные вещи 🤗,M,3
417,5,Тюкалов Андрей,Хорошая ,M,1
420,4,Айбек,Легкий  мягкий  тонкий ,M,3
421,5,Дмитрий,Очень хороший материал  удобная,M,4
422,5,Виктор,Отличная майка  но не подошёл размер ,M,6
424,5,Андрей,Футболка для повседневного использования 👍🏻,M,5
428,5,ислам,Оригинал,M,1
431,5,максим,Всенорм,M,1
434,5,любовь,Качество хорошее  принт удачно смотрится  по фигуре хорошо села  Муж плотный,M,11
435,3,Артем,Материал тонкий не очень маломерит,M,5
436,5,Василий,Качественный пошив и ткань ,M,4
437,5,Лобковский Игорь,Обычная футболка  обычное качество,M,4
440,3,Игорь,👍,M,1
444,5,дмитрий,Супер,M,1
446,4,Андрей,Размер  качество  норм  но ткань тонковата  немного просвечивает тело ,M,9
447,5,Данил,Отличная футболка для повседневной жизни  размер подошёл,M,7
450,5,Зураб,Футболка супер,M,2
452,5,Андрей,Подошла отлично  качество отличное ,M,4
453,5,Алексей,Хорошая футболка ,M,2
459,5,Киреев Сергей,Отличная футболка  Короткая,M,3
460,5,Алексей,👍,M,1
461,3,Роман,Качество на тройку  синтетика прям ,M,5
463,5,Алексей,футболка классная но на мне не села  а так брать можно ,M,11
465,5,Новожилов Александр,Отличная,M,1
466,5,Алексей,👍🏿,M,1
480,5,Кирилл,Маломерит,M,1
481,5,Стас,Хорошее качество,M,2
484,5,Антон,🔥,M,1
491,2,Виктор,Размер подошёл  Качество материала не очень  воняет краской и краска не приятная на ощупь  Максимум носить дома или верну ,M,19
496,5,Виталий,Крутая футболка  рекомендую,M,3
501,5,Владимир,Прикольный рисунок,M,2
502,5,Максим,Отличный выбор ,M,2
505,5,Николай,👌👌👌👌,M,1
508,2,Ленар,Не понравилось качество,M,3
509,5,Лагунин  Руслан,Бомбическая футболка,M,2
510,5,Гизатуллин Равиль,Отличная футболка  яркий принт  идет в размер,M,7
515,3,Владимир,Краска не очень  Пачкает первое время,M,6
516,5,Ильяс,Понравились,M,1
517,4,Станислав,Майка  класс  качество  супер  но размер был маловат,M,8
519,5,Александр,👍🏻,M,1
520,5,Николай,Отличная футболка  рекомендую,M,3
522,5,Кирилл,Хорошее качество,M,2
523,5,антон,✌👅👅👅,M,1
524,4,гузель,Хорошая футболка чуток маломерит с размером,M,6
525,5,Руслан,Отлично  после стирки не тускнеет  краска не расползается  Размер подходит,M,10
526,5,Ратмир,С джинсами самое то,M,4
527,1,Нестеров Игорь,Футболка красится  не брать ,M,4
528,5,Рахматуллин Руслан,👍,M,1
529,5,Евгений,красивая яркая  цвета насыщенные  смотрится очень классно  ткань приятная  сомневаюсь правда что надолго хватит  скорее вытянется  но на лето на море погонять в самый раз  а потом оставить как домашнюю и норм  в целом покупкой доволен ,M,36
530,5,Павел,Футболка супер  Хороший материал  Размер в размер  Лёгкая ,M,8
533,4,Евгений,Все бы хорошо  но красится синим даже после стирки,M,9
534,5,Данил,Хорошо сидит  приятный материал,M,4
535,1,Максим,Линяет,M,1
537,5,Андрей,Классная и очень стильная 👍,M,5
541,5,Андрей,Качество на высоте,M,3
546,5,Александр,очень понравилось качество изделия  нежный цвет приятный для тела  посоветовал двум своим соседям ,M,13
562,5,крылов александр,Все четко,M,2
563,5,Владимир,Хорошее качество  приятно в ношении,M,5
569,5,ал,Ок,M,1
571,5,Санин Сергей,Качество соответствует описанию ,M,3
573,5,Багатин Максим,Хорошее качество,M,2
578,5,Евгений,Отличное качество,M,2
580,5,Павел,Футболка немного маломерит  но в целом хорошая ,M,7
582,5,Алеевский Виктор,Соответствует описанию,M,2
583,5,Глеб,Покупкой и качеством доволен,M,4
587,5,Дмитрий,Майка качественна 👍,M,3
589,5,Евгений,Отличное качество  принты четкие  Села отлично ,M,6
590,5,Рыжков,Хорошее качество ,M,2
592,5,Вячеслав,Рекомендую,M,1
593,5,Александр,Все супер,M,2
595,5,Дземко Андрей,В порядке,M,2
597,5,артур,Хлопковая  простая  хорошее качество За 700р надо брать не меряя ,M,10
601,5,Кирилл,Не прозрачная  легкая и тонкая  Длина прям как надо  руки если поднять  то пузо не видно ,M,16
603,5,Евгений,Качество огонь ,M,2
605,5,Алексей,👍🏾,M,1
609,5,Виктор,Хорошая футболка  матерьял приятный к телу  Швы ровные  после стирки внешний вид остался прежним  Идёт размер в размер ,M,18
610,5,Максим,Хорошая майка  и материал мягкий ,M,5
613,5,Артур,Футболка очень хорошего качества  рекомендую к покупке,M,7
617,5,Аитов Егор,Материал футболки приятный телу  Фасон как на фото  Рост 180 вес 80 села идеально,M,14
620,5,Тарас,Разница между S и M не заметил вообще  приятный оверсайз  ткань средней толщины  у TNF плотнее  На весну  самое то ,M,20
623,2,Виктрр,Скатала после первой стирки,M,4
626,5,марк,приятный хлопок  выкупил,M,3
628,4,Александр,Хорошая футболка  но вырез как по мне узковат,M,8
629,5,сулаев дамир,крутая футболка,M,2
634,5,Михаил,👍,M,1
638,5,Дмитрий,Кайф,M,1
639,5,Андрей,👍🏻👍🏻👍🏻,M,1
640,5,Роман,Футболка молодежная яркая хорошего качества  Плотная ткань  Ворот не растягивается ,M,10
641,5,Челноков Игорь,Футболка размер в размер  качество как всегда на высоте,M,9
649,5,Вадим,Супер ,M,1
650,5,Дмитрий,Отличная базовая футболка под рубашку  В обтяжку  плотно прилегает к телу  очень приятная на ощупь ,M,15
651,5,Виктор,👍,M,1
652,5,Киргинцев Роман,Хорошая футболка  качество неплохое  приятно тянется материал  слегка маломерит  в обтяжку,M,11
655,5,Сергей,👍🏻👍🏻👍🏻👌🏻,M,1
663,3,аюр,Маломерит,M,1
667,5,Сергей,Очень удобная,M,2
668,5,Александр,Качественный пошив  приятна к телу  Действительно  чуть маломерит ,M,8
669,4,Василий,Прикольное но один минус есть и вам я его НЕ СКАЖУ,M,11
670,5,Глеб,Ношу M  S  но тут влез только в L  А так до 1000 рублей лучший вариант,M,16
672,4,Николай,Качество хорошее ,M,2
673,5,Максим,Отличная футболка  По качеству стоит своих денег  990р ,M,8
679,5,Гуков,Великолепное качество  в какой раз убеждаюсь в качестве бренда Хендерсон,M,10
0,5,Алия,Хорошая футболка,F,2
1,5,Лиана,👍🏻,F,1
2,5,валентина,Хорошая за такую цену,F,4
3,4,Екатерина,Маломерит на размер точно  к сожалению,F,6
4,5,Ирина,Заказала две футболки в бежевом и чёрном цвете  Размеры S и М  большой разницы между размерами нет  Оставила обе  Цвет приятный бежевый  качество хорошее ,F,24
5,5,Ксения,Очень приятная к телу футболка  Нежный цвет  Мне нравится ,F,9
6,4,Юлия,Цвет очень приятный  качество хорошее  В плечах и руках облегает  а снизу широкая  На каждый день пойдёт  особенно если заправлять в джинсы ,F,22
7,5,Сороковикова Елизавета,Почитав отзывы  думала  будет сидеть плотно  Но спокойно наделась даже на беременный живот  рукава в облипку немного  а так комфортно  приятный цвет  надпись в глаза не бросается  Мне все понравилось  после беременности будет как влитая,F,35
8,5,людмила,Футболка отличного качества полностью соответствует фото,F,6
9,5,людмила,Классная футболка  качество хорошее  идёт в размер ,F,7
10,2,Елена,Не понравилась  Надпись из букв сильно дешевит,F,7
11,5,Елена,Отличное качество,F,2
12,5,Анна,Немного маломерит,F,2
13,4,Анна,Хороший выбор на каждый день,F,5
14,4,Наталья,маломерит  тесно в плечах  берите на размер больше,F,8
15,5,Рыжова Наталья,Прикольная  понравилась  выкупила  Обычно ношу м  но оказалась в облипку  взяла Л,F,12
16,4,Ирина,Ооочень маломерит  На 42  44 взяла 46 еле влезла  вся в облипку и очень короткая  Заказала бы L  но ощущение  что будет маловата  А так симпатичная  цвет приятный  пошив хороший  На прям худенькую девушку будет хорошо,F,36
17,5,Елизавета,Простая и стильная,F,3
18,4,Александра,Вроде не плохая  но в области шеи как оо странно сидит,F,11
19,5,Наталья,Мягкая,F,1
20,4,Яна,Майка маломерит  очень плотная,F,4
21,5,Кутявина Елена,Отличная футболка  в размер  цвет соответствует фото 👌,F,8
22,5,Евгения,Отличное качество  Буквы смотрятся достойно ,F,5
23,5,Карина,Понравилась футболка  плотная и приятная к телу  Обычно беру 48р этой фирмы  но данную футболку взяла 46р,F,17
24,2,виктория,Некрасивые дешёвые буквы приклеены,F,4
25,5,Мария,Хорошая футболка  выкупила  Размер соответствует ,F,5
26,3,Галина,Очень странно пошита  в рукавах узка и отсюда тянется в груди  Отказ  Сама ткань нормальная для такой стоимости  Если может у кого руки тонкие  подойдет  но сомневаюсь,F,27
27,5,Ольга,На мой реальный 44  подошёл 48  Майка крутая,F,8
28,5,Валерия,Немного маломерит  красивая футболка  качество 👍🏻 Надпись аккуратная  взяла данную футболку в 2х цветах  черную и белую ,F,17
29,5,Валерия,Ношу 42  44р  р  взяла 46  маломерит  Качество отличное 👍🏻,F,10
30,4,Дроздова Елена,Не плохая футболочка  но маломерка  на мой 42  размер S  оказался мал,F,12
31,4,Сарибекян Дарья,Качество на 4  маломерит прилично  на пару размеров можно спокойно брать,F,11
32,5,Лилия,Крутая футболка 👍,F,3
33,4,Наталья,Материал очень тонкий  М сидит  как обычная S  Но в целом прикольная  Только ощущение  что долго она не прослужит,F,19
34,5,Дина,Мой любимый дизайнер ❤️ футболка села идеально,F,7
35,5,Мария,Качество карла всегда идеальна  ещё и цена подарок ,F,8
36,2,Калимат,На фото лучше  чем в жизни,F,6
37,5,Татьяна,Отличное качество  Тонкий хлопок на лето ,F,6
38,5,мари,Мягкая удобная футболка,F,3
39,5,Олеся,Отличное качество  Очень стильно смотрится ,F,5
40,5,Дина,Классная футболка  идёт в размер ,F,5
41,5,Виктория,Замечательная футболка  Заказала размер S на свой 42 размер  чтобы сидела посвободнее  Кстати  костюмчик на Карле сделан в виде шелковой аппликации ,F,21
42,5,Оксана,Качество просто 🔥 Я очень довольна покупкой ,F,7
43,5,Залина,Майка шикарная  Как и все вещи данной марки  Не весь рисунок нанесён краской  есть кусочки из ткани  что делает футболку ещё интереснее ,F,22
44,5,Кристина,Классная,F,1
45,5,Ирина,Футболка класс  качество хорошее  рисунок тоже качественный  не потрескался после первой стирки  Естественно такие вещи в машинке не стирают,F,19
46,5,надежда,Отличная  как всегда  качественная и стильная,F,6
47,5,Маргарита,Качественная и стильная  купила 2 белую и чёрную 👍,F,9
48,5,Екатерина,Это один из наших любимых брендов  футболка супер  села идеально ,F,10
49,1,Виктория,Отвалилась наклейка после ручной стирки 30 гр  Даже не стирала  а просто прополоскала  наполовину отошли ,F,15
50,5,Анна,Отличное качество  сшито очень аккуратно  приятная к телу  Рекомендую ,F,9
51,5,Любовь,Очень крутая и качество огонь,F,5
52,5,Алена,Отличная футболка  как и все вещи у данного бренда,F,9
53,5,Михайлова Лариса,Товар соответствовал описанию  качество отличное,F,5
54,5,Марина,Отличное качество  идет размер в размер ,F,6
55,5,Маргарита,Футболка понравилась  логотип приклеен хорошо  ничего нигде не отклеивается  не трескается  Размер соответствует ,F,13
56,5,Гузель,Отлична футболка  привет просто огонь  размер соответствует,F,7
57,5,Екатерина,Качество просто отличное,F,3
58,5,Арутюнова,Я прям влюбилась  очень удобная  размер в размер,F,8
59,5,ольга,Качество супер,F,2
60,5,Татьяна,Супер ,F,1
61,5,Светлана,Супер футболка  отличное качество  Теперь у меня комплект  футболка и худи  с Карлом и котёнком ,F,15
62,1,Маргарита,Материал отличный  приятный к телу  Но после ручной стирки  наклейка частично отвалилась  Я понимаю  если это футболка за 300 рублей  но за такую цену  разочарование полное,F,26
63,5,Константин,Качественная рисунок после стирки на месте,F,6
64,5,Татьяна,Брали в подарок  остались все довольны ,F,6
65,5,Анна,Оч хорошая футболка,F,3
66,5,vika,Оч приятная к телу футболка,F,5
67,5,Виктория,Супер качество  супер бренд ❤️,F,5
68,5,Екатерина,Отличное качество  Принт целый уже после многих стирок  В размер ,F,10
69,5,Ольга,Качество материала и принта отличные  Это Karl  и этим все сказано ,F,11
70,5,Екатерина,Цена  качество  В стирке ещё не была  не знаю отклеится рисунок или нет ,F,13
71,2,Кристина,Сама футболка хорошая  приятная к телу  но аппликация отошла сразу же после стирки  Возврат  Все таки покупая брендовую вещь  рассчитываешь  что она будет качественная и не на один раз ,F,29
72,1,мария,Отвратительно  это явно подделка  После стирки на 30с,F,8
73,5,Кристина,Понравилась  взяла,F,2
74,5,Екатерина,Ношу 42  взяла М для лёгкого оверсайза  Сидит супер  качество хлопка очень понравилось ,F,13
75,5,Абрамова Юлия,Все просто отлично и соответствует указанному размеру ,F,7
76,5,Мария,Качество отличное  Оставила для себя,F,5
77,5,Айдана,Футболка села идеально ,F,3
78,5,Анна,Очень красивая футболка  классно смотрится  отличного качества 👍🏻,F,8
79,5,Элла,👍,F,1
80,4,мария,Футболка среднего качества трикотажа  не тонкая и не толстая  В размер  Взяла только из за принта  давно хотела что то подобное ну и за скидку  за полную стоимость ни когда в жизни бы не купила  В стирке ещё не была  но судя по отзывам стирать на низких температурах ,F,48
81,5,Жук Елена,дочка в восторге  очень довольна,F,5
82,5,новицкая ирина,Понравилась  Качество хорошее  Размер соответствует,F,5
83,5,Кристина,Хорошая футболка,F,2
84,5,Наталья,Классная футболка  брала для дочери 13 лет  Тонкая  приятная к телу  Качество хорошее ,F,13
85,5,Илина,Хорошее качество  но цвет действительно молочный и немного просвечивает  но не критично ☺️,F,13
86,4,Валерия,В жизни качество не такое хорошее как казалось на фото  немного просвечивает,F,12
87,5,Елизавета,Супер,F,1
88,5,Veronika,Все отлично ,F,2
89,5,Savsan,Классная футболка,F,2
90,5,лика,Удобная при занятиях спортом,F,4
91,5,Николай,Приятная футболка  Под спорт костюм самое то ,F,7
92,5,Юлия,на 44  46 М как раз  не короткая на рост 174 см  приятный хлопок  не будет жарко  лаконичная футболка даже на повседневку,F,22
93,5,Ангелина,неплохая футболка  удобная,F,3
94,5,Екатерина,Стандартная футболка  качество хорошее,F,4
95,5,ирина,хорошен качество,F,2
96,5,Елена,Хорошая и простая футболка  Для зала хорошо,F,7
97,5,Виктория,Футболка в размер  отличное качество,F,5
98,5,таня,👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼 взяла 3,F,3
99,5,Anna,Идеальная футболка  Качество супер  В размер,F,6
100,5,Ирина,Классная и качественная футболка  размер в размер  рекомендую,F,8
101,5,Мария,Очень хорошая футболка  плотная  не просвечивает,F,6
102,5,Лена,Классная футболка,F,2
103,5,Amina,Отличная футболка  Правда цвет не такой белый как на фото  а молочный  Белый наушник для сравнения,F,16
104,5,алина,Отличный товар  по размерам подошёл  качество супер,F,7
105,5,Екатерина,Ог 95  От 70  Рост 163 ,F,6
106,5,Карина,Хорошая базовая футболка  соответствует фото,F,5
107,3,Юля,К сожалению сильно прозрачная А качество хорошее,F,7
108,5,Елена,Хорошее качество,F,2
109,5,Блинова Марина,Понравилось  Качество хорошее ,F,3
110,4,Блинова Марина,Цвет молочный  не белый  Качество хорошее ,F,6
111,3,Лиана,По качеству 🔥 Но пришла желтоватого оттенка  хотя на фото белая,F,11
112,5,Karina,топ,F,1
113,4,Евгения,Идеальная Белая футболка для зала  идёт в размер,F,8
114,5,Юлия,Базовая вещь  Материал приятный к телу  Хорошая футболка,F,8
115,5,Светлана,Отличная футболка  Идет в размер  Рекомендую ,F,6
116,5,Куляш,Футболка супер  базовая,F,3
117,5,Люция,Повседневная футболка  второй раз покупаю,F,5
118,5,Татьяна,Отличная футболка  очень приятная к телу  хорошего качества  Идет в размер ,F,11
119,5,🌺,Хорошая базовая,F,2
120,5,Солангы,Хорошее качество  самое то ,F,4
121,4,Анна,Футболка понравилась широкими манжетами на рукавах и горле  Но не достаточна плотная  просвечивает ,F,13
122,5,Zhibek,Хорошая футболка,F,2
123,5,Марина,Футболка мой фаворит  ношу 44  заказывала 44  46  сел идеально,F,10
124,5,Труфанова Анна,Приятная к телу  отличная как для тренировок  так и для носки на повседневкуб,F,13
125,4,Алёна,Качество хорошее  и сидит Хорошо  но своих денег не стоит  обычная белая футболка,F,13
126,5,vil,класс,F,1
127,5,Яна,Качество хорошее  размер в размер ,F,5
128,5,Мария,Хорошая футболка  в размер,F,4
129,5,Olga,Крой изделия  фактура ткани  посадка на фигуру  все прекрасно  Но мне почему  то пришла футболка с желтоватым оттенком  возможно  так и должно быт,F,23
130,5,Айнур,👍👍,F,1
131,5,Асель,Приятная телу  мягкая  классная футболка 👍,F,6
132,5,Алёна,Плотный хлопок  качественный покрой  выкуп,F,5
133,5,Яна,Хороший состав и внешний вид ,F,5
134,5,Anna,Симпатичная недорогая футболка с забавным принтом  Качество хорошее  немного оверсайз  На 42  44 взяла xs,F,15
135,5,Виктория,Приятная к телу  тонкая  цвет насыщенный и яркий  свободного кроя ,F,10
136,5,Анастасия,Соответствует описанию,F,2
137,5,Надежда,Хорошая  на 40  42 размер xs как на фото свободненько  и цвет  принт всё как на фото ,F,17
138,5,Елена,На вид  как на фото,F,5
139,5,Ольга,Футболка отличная  плотная по размеру,F,5
140,5,Анастасия,👍👍👍,F,1
141,5,Татьяна,Идеальная базовая модель,F,3
142,5,Татьяна,Маечка хорошего качества  В размер ,F,5
143,5,Седова Дарья,Отличная базовая футболка  не светит ,F,5
144,5,Россина,Качество супер  Села идеально  Рекомендую ,F,5
145,5,Некрасова Наталья,Недостаточно плотная  Отличная для такой цены ,F,6
146,5,Полина,Все круто  спасибо большое,F,4
147,5,юлия,👍👍👍👍👍,F,1
148,5,Лейсан,Очень хорошая плотная футболка  Всем советую ,F,6
149,5,Любовь,Качество на высоте  Брала на размер больше ,F,7
