,stars,name,feedback,gender,num_words
150,5,Динара,Хорошая базовая футболка,F,3
151,5,Алина,Идеальная базовая футболка ,F,3
152,5,Елизавета,Хорошая базовая недорогая футболка  достаточно плотная Взяла ,F,7
153,4,Елена,Хорошая футболка  материал хотелось бы поплотнее  но и так неплохо  Модель укорочённая  но хватает чтоб заправить в брюки с высокой посадкой ,F,21
154,5,Снежана,Футболка хорошего качества  приятная к телу  Идёт размер в размер,F,10
155,5,анастасия,Отличная базовая футболка  Не липнет к ней ничего ,F,8
156,5,Екатерина,Брала на размер больше  понравилась  Качество хорошее  Нитки не торчат  все качественно  Советую,F,13
157,5,Анастасия,Хорошенькая  базовая  люблю оверсайз  взяла на 2 размера больше обычного ,F,10
158,5,Мария,хорошая базовая футболка по адекватной цене,F,6
159,5,Екатерина,Плотный хлопок  но футболка короткая,F,5
160,5,Елена,В размер  Советую к покупке,F,5
161,5,Екатерина,Идеальная чёрная базовая футболка,F,4
162,5,Евгения,Качество отличное  приятная к телу  брала 48  50  немного большемерит  но у неё покрой такой как на фото  более удлиненные рукав  широкая ,F,22
163,5,Анастасия,👍🏽,F,1
164,5,Татьяна,За столь не большие деньги и такая классная футболочка  На свой 44 заказала 42  44  села великолепно  качество пошива отличное  Думала  что буду одевать под джемпер как базовую  но она так классно сидит  что и на выход пойдёт  Спасибо огромное Lamoda 😘💋❤️,F,42
165,5,Бородавкина Евгения,Футболка мягкая  очень приятная ,F,4
166,5,Оксана,Хорошая футболка  довольно плотная  Мне понравилась форма ,F,7
167,5,Дарья,Хорошая базовая футболка  приятный к телу материал ,F,7
168,5,Волкова Наталия,Хорошая базовая футболка  Брала не размер больше  чтобы сидела свободно  Качество и цена супер ,F,14
169,5,Кудисова Оксана,Качество хорошее  Не взяла  потому что руки обтянуло  а дальше свободная и прямая  Не для моей фигуры ,F,17
170,4,Юлия,Хорошая футболка на лето под жакет  пиджак  Жаль  что мне попалась с браком ткани,F,14
171,5,Каныкей,💞💞,F,1
172,4,Анастасия,Хорошая футболка  ооочень приятная телу  но немного просвечивает  только из  за этого не взяла,F,14
173,5,Наталья,Футболочка просто чудо  То  что я хотела  Рекомендую,F,8
174,5,Сидорович Ксения,Качество хорошее  немного просвечивает ,F,4
175,5,б наталья,Футболка молочного цвета  а не белая  в рубрике  Мне понравилась,F,10
176,5,Kseniya,Хорошенькая ,F,1
177,5,Марина,Хорошая  но был маленький брак,F,5
178,5,Анастасия,Приятная ткань  Цвет ваниль  Соответствует размеру  Взяла на размер больше  и оказалась широка ,F,13
179,5,Марина,Качественная  Приталенная ,F,2
180,5,Елена,Прекрасная футболка  чтобы заправлять  Скроена по фигуре  при этом не облегает  М на 44  46 прекрасно  За 280рэ это прекрасная футболка,F,21
181,5,Кристина,Хорошая базовая футболка  Качество на высоте  плотная  нитки не торчат  Цвет молочный  в рубчик  Я довольна покупкой ,F,17
182,5,Александра,Ткань лапша,F,2
183,4,Анна,Хорошая футболка  Приятная к телу,F,5
184,5,Потапенкова Татьяна,Базовая футболка в рубчик  светло кремового цвета  Хорошее качество ,F,9
185,5,Розалия,Отличная плотная футболка кремового цвета  хорошая база  под кардиганы  пиджаки  прекрасно  Качественные швы  На ОГ 91 и ОТ 77 размер М подошёл  Спасибо  Ламода ,F,24
186,5,Карина,Приятная к телу  отличная цена,F,5
187,5,Луговская Инна,Футболка не белая  нежно молочного цвета  но фактура ткани очень красивая   в рубчик  как говорили раньше ,F,16
188,4,саша,Цвет не белый,F,3
189,5,Марина,Заказала маме  чтобы носить под свитер  Качество очень хорошее  несмотря на цену  футболка не рыхлая  держит форму  правильная широкая горловина  Цвет не кипенно  белый  скорее  сливочный  но смотрится отлично  Хотим купить ещё ,F,32
190,1,Наталья,Ужасная футболка  несуразная  цвет желтит  будто ее застирали,F,8
191,5,Natalya,Отличная базовая вещь  Молочного цвета  типа как сгущёнка ,F,8
192,5,Анна,Отличная футболка  сидит просто шикарно  в размер  Ткань хорошего качества  Цвет действительно чуть  чуть кремовый  но красивый  не желтоватый ,F,19
193,1,И,Заказала белую футболку  но пришла кремовая  Качество понравилось  потому оставила ,F,10
194,1,анастасия,Кремовая а не белая,F,4
195,5,колесникова Ирина,Цвет  качество на высоте  Размер огромный  большемерит очень сильно  Самый маленький на мне как платье ,F,15
196,5,зоя,Качество отличное,F,2
197,5,Елена,👌🏻,F,1
198,4,Мила,ооочень большемерит  Заказала меньше на размер  Цвет шикарный ,F,8
199,5,Ирина,Отличная футболка,F,2
200,5,Надежда,Качество отличное  Классная оверсайз футболка ,F,5
201,5,Anna,👍👍,F,1
202,5,Анна,Мягкая,F,1
203,5,Laura,Качество хорошая,F,2
204,5,Гюльшад,Футболочка отличная  качество стоит своих денег,F,6
205,5,Макаров Иван,Все нормально,F,2
206,5,Анна,Просвечивает  к качеству притензий нет,F,5
207,5,климова венера,Качество отменное  футболка очень понравилась ,F,5
208,1,Катя,Очень тонкая  прозрачная как тюль,F,5
209,4,Дарья,Футболка отличного качества  оекоменду ,F,4
210,5,Вера,Базовая футболка  Размер в размер  Тоньше  чем выглядит на фото ,F,10
211,4,Виктория,Пришла с зацепкой и маленьким пятнышком на груди  Обычная футболка  тонкий трикотаж  ничего особенного  Не очень поняла всеобщего восхищения  почитав отзывы ожидала чего  то большего ,F,25
212,5,Екатерина,Села хорошо,F,2
213,5,Валентина,Качество,F,1
214,5,Алена,В размер  Качество хорошее ,F,4
215,5,Яна,Отличная  как и все ck,F,5
216,5,наталия,Качество годное  Размер подошёл  ткань неплотная,F,6
217,5,Алена,Стандартная базовая футболка  в размер,F,5
218,5,Кристина,Качество отличное  строчки хорошие,F,4
219,5,Tonya,Класс,F,1
220,5,Клепикова Ольга,Крутая,F,1
221,5,Марина,Классная футболка  размер подошёл  получилось не в обтяжку  приятный трикотаж  Рекомендую ,F,11
222,5,Виктория,Хорошее качество  мягкая ткань  Необычные швы ,F,6
223,4,Кристина,Приятная ткань  облегает к телу,F,5
224,5,Анна,Хорошая  лаконичная футболка  Взяла в двух цветах для дома ,F,9
225,5,Ольга,Приятная  качество неплохое  размер в размер,F,6
226,4,Кристина,Хорошая базовая футболка  Качественная  но материал немного просвечивает ,F,8
227,4,Наталья,Обычная  ткань тонковата,F,3
228,5,Лариса,Классная люблю КЕЛЬВИН ,F,3
229,5,Анна,В размер  Немного просвечивает  не критично  Ну обычная белая базовая футболка,F,11
230,5,Оксана,Хорошая белая футболка  в размер,F,5
231,5,Игнаткина Виктория,Отличная футболка  очень качественная  Размер в размер,F,7
232,5,Елена,Хорошее качество,F,2
233,5,Алексей,Отличного качества  однозначно рекомендация ,F,4
234,5,Юлия,Удобная базовая футболка,F,3
235,4,Диана,Футболка самая обычная  ткань просвечивает  плотной не показалась  Выбрала другую этой же фирмы,F,13
236,5,Лена,Все супер  но по фото было не очень понятно  какая у футболки длина  одинаковая со всех сторон или сзади чуть длиннее  Так вот  она одинаковая и спереди  и сзади ,F,29
237,5,Алеся,Хорошая  Чисто белая базовая футболочка  цена приятная 👍🏼,F,8
238,5,семенов дмитрий,Очень хорошая футболка  В размер  Качество отличное,F,7
239,5,Синицына  александра,Хорошая футболка  оригинал,F,3
240,5,Александра,Хорошая базовая вещь  Взяла,F,4
241,5,Светлана,Соответствует цене,F,2
242,4,Надежда,Узкая посадка,F,2
243,5,Ольга,Плотная  после стирки форму не потеряла  Купила сразу в двух цветах  белый и чёрный,F,14
244,5,Анастасия,Хорошая базовая футболка,F,3
245,2,Селихова Екатерина,Отличная базовая футболка  решила заказать вторую для дочери  но она пришла вся помятая и с микродырочками  отказ  Буду заказывать другую ,F,20
246,5,Ольга,Понравилось качество  Отличная базовая футболка  Беру ,F,6
247,3,Анна,Хлопок  но растягивается  Предполагаю не оригинал,F,6
248,5,Любовь,Супер базовая вещь ,F,3
249,5,Роман,Материал  плотненький хлопок,F,3
250,5,Селихова Екатерина,Футболка суперская  ткань приятная  прям базовая вещь  Советую ,F,8
251,5,Марина,Отличная футболка  Да  при стирке немного белеет  но это ее не портит,F,12
252,4,Алия,Качество хорошее  Но ткань плотная для лета ,F,7
253,5,Зотова Марина,Прекрасное качество  достаточно  плотная ткань  Хлопок  Купила xxs  Сама ношу s  m  Она при этом свободная  Приятно сделана  смотрится  красиво  В носке  отлично ,F,23
254,5,Toma,Осень хорошая футболка,F,3
255,5,Aleksandra,Хороша  сильный оверсайз ,F,3
256,5,Лана,Отлично сидит  ткань приятная,F,4
257,5,Ольга,Супер ,F,1
258,5,nataliya,Крутая  классный оверсайз  как люблю,F,5
259,5,Татьяна,Качество хорошее  но мне не понравилась  больше для дома подходит,F,10
260,5,Анастасия,Футболка отличного качества  свободная  для занятий фитнесом комфортная,F,8
261,5,Dina,Отличная футболка,F,2
262,5,елена,Брала эту футболку на занятия спортом  но влюбилась и теперь ношу ее как каждодневную вещь,F,15
263,3,Дарья,Ткань плотная  футболка прям хороший оверсайз  смотрится классно  но полиняла после первой стирки и стала почти вся белая ,F,18
264,5,N,Футболка хорошая  материал плотный  оверсайз  притензий нет,F,7
265,5,Ольга,Взяла  качество хорошее  Оверсайз ,F,4
266,5,Павел,Идеально ,F,1
267,5,Наталья,Кайф  Любимый оверсайз  На тренировке комфортно,F,6
268,5,Мария,Качество хорошее,F,2
269,3,Анна,Слишком плотная и оооооочень большая  просто огромная,F,7
270,5,Елена,Oversize  хороший плотный материал  взяла для занятий фитнесом  нравится,F,9
271,5,романенко ирина,Футболку брала дочери  Качество отменное  Оверсайз ,F,6
272,5,Стыценко Надежда,Оверсайс,F,1
273,5,Дарья,Очень хорошая футболка  купила для спорт зала  к телу приятная ,F,10
274,5,Артем,Бомба клубника,F,2
275,5,Софья,Отличный оверсайз,F,2
276,4,Татьяна,Качество супер  но мне попалась с браком  разной длины рукава  разная длина плеча от горловины  соответственно  плечевые швы на разном уровне  Пришлось вернуть  Ношу 42  взяла s  надо было брать еще и xs для сравнения  Мегаоверсайз 😁,F,37
277,5,Анастасия,Трендовая и комфортная вещь до тех  кто любит Оверзайз,F,9
278,5,Алиса,потоясающее качество  reebok на высоте как обычно ,F,7
279,5,Алина,Потрясающая ❤️,F,2
280,5,Алина,Классная 😍,F,2
281,5,Гаухар,Футболка оверсайз  ткань плотная  Качество порадовало ,F,6
282,5,Екатерина,Очень качественная,F,2
283,5,Эльвира,Отличная футболка  Хорошего качества  На мой вкус можно было взять на размер меньше  т  к  очень оверсайз ,F,17
284,5,Светлана,Футболка сидит круто  очень нравится качество,F,6
285,5,Алия,Хорошая футболка,F,2
286,5,Лиана,👍🏻,F,1
287,5,лариса,Товар очень хорошего качества выкупила,F,5
288,4,Натали,Буквы металлические  Приклеены намертво  Сняла одну ⭐️ за то  что буквы испачканы в клее  немного небрежно выглядит  Свободная по телу  Брала S на ОГ 94  сел прекрасно  За эти деньги отличная футболка ,F,32
289,4,oksana,очень маленький вырез  а так приятная футболка,F,7
290,5,Ксения,Действительно  нужно брать на размер больше  И тогда садится хорошо  и в плечах  и длина ок  Качественная футболка,F,18
291,3,Галина,Странно пошита  узко в рукавах  Отказ ,F,6
292,5,Ирина,Отличная футболка  Качественный трикотаж  не просвечивает  Модель укороченная  но для моего роста 162 нормально ,F,14
293,5,Валеева Вероника,Качество 👍 но маломерит на размер,F,6
294,1,Юлия,Надпись наклеена криво  Да и сама футболка какая то странная по силуэту  Отказ,F,13
295,5,Tanya,Классная футболка 👍 выглядит стильно  по качеству хорошая,F,8
296,5,Заика Екатерина,Выглядит очень классно  Эти буквы придают ей люксовый вид,F,9
297,4,Юлия,Совершенно не маломерит  как писали в предыдущих отзывах  Качество хорошее  сверху в плечах слегка облегает  а внизу всё равно широкая  На повседневную носку хорошая  особенно если заправить в джинсы с высокой посадкой ,F,32
298,5,алина,Футболка очень понравилась ,F,3
299,2,Виктория,Маломерка и короткая очень ,F,4
300,5,Татьяна,Хорошая футболка  приятная к телу  буквы прикреплены отлично  думаю после стирок не отпадут  За такую цену вообще шикарно 👍,F,19
301,5,людмила,Футболка отличного качества полностью соответствует фото,F,6
302,5,Ольга,У Зарины классные футболки  не первый раз беру,F,8
303,5,людмила,Классная футболка  качество хорошее  идёт в размер ,F,7
304,5,Маргарита,Футболках отличная 👌,F,3
305,5,Каюмова Мафтуна,Все подошло смотрится очень красиво,F,5
306,5,Алина,Классная качественная футболка  Возьму ещё в пару цветах  Если любите посвободнее  то берите на размер больше ,F,16
307,5,Елена,Отличная базовая футболка  плотная  но не толстая  С удовольствием выкупила,F,10
308,5,Даниэла,👍🏻,F,1
309,5,София,💣 качество,F,2
310,5,Валерия,Немного маломерит  красивая футболка  качество 👍🏻 Надпись аккуратная  взяла данную футболку в 2х цветах  черную и белую ,F,17
311,5,Кристина,Плотная  очень крутая  В размер  Единственное у кого полные руки берите 2 размера на выбор  Потому что рукава у неё облегающие  не как обычно у футболок  Буквы вроде крепко приклеены  пока не стирала  Кстати они металлические  Воющем полный восторг  хочу и в других цветах  Базовая ненавязчивая вещь,F,47
312,5,Мария,Плотная  швы ровные  размер в размер ,F,6
313,5,Кристина,Футболка хорошего качества  соответствует описанию  почитав отзывы взяла 44  хотя фактически ношу 42  села отлично,F,15
314,4,Oлеся, Видно клей Хорошо смотрится  соответствует фото,F,6
315,5,Гуля,Короткая  маломерка,F,2
316,5,Юлия,Хорошая футболка  в размер идёт ,F,5
317,5,Ира,Футболка хорошего качества  приятный к телу мягкий материал ,F,8
318,5,Евгения,Качество футболки превзошли все другие аналоги которые на порядок выше в цене  Приятная к телу  Надпись отлично смотрится ,F,18
319,5,Алина,Отличная стильная футболка с надписью под металл  крой слегка трапеция  полуоблегающий  Большемерит примерно на пол размера ,F,16
320,5,Адэлина,Очень качественная и стильная 😻,F,5
321,5,Виктория,Хорошо сидит  понравилась ,F,3
322,5,Чердынцева Валерия,Превосходное качество,F,2
323,5,Лариса,Покупаю уже второй раз  только другого цвета  Очень комфортная ,F,9
324,5,Алена,Размер в размер  среднего качества ,F,5
325,1,Дарья,Качество ,F,1
326,5,Чернявская Надежда,Вполне себе нормальная базовая офисная блузка  Трикотаж довольно плотный  Единственное  что горловина в том виде  как она заглажена производителем  на моей конкретной шее лежит не очень  Но я думаю ее переутюжить  За такую смешную цену такие погрешности можно простить  На параметры 86  70  94 размер 46 как раз подошёл идеально  По плечам все тоже хорошо  не висит  но и не впивается в подмышки,F,63
327,5,Чернявская Татьяна,Футболка приятная к телу  выглядит аккуратно  цвет соответствует  в моём вкусе ,F,11
328,5,Ирина,Футболка  соответствует размерной сетки  Ткань приятная к телу  Советую к покупке ,F,11
329,5,Нина,Хорошее качество и цена приятная ,F,5
330,5,Валентина,Не плохая кофта  не взяла потому что просто не подошла  идёт в размер,F,13
331,5,Волкова Ирина,Отличная футболка  Базовая  Ткань плотная  к телу приятная  На 44 р  р взяла 46  Села как надо  свободно,F,18
332,5,пластинина елена,Выкупила Хороший состав  ткань приятная  Цена отличная  Спасибо магазину ,F,9
333,5,Марина,Качество приличное  Трикотаж не рыхлый  приятный к телу  Рекомендую к покупке  На ог105 купила р  52,F,16
334,5,ирина,Очень понравилась  В размер  Ткань приятная  Не в обтяг,F,9
335,4,Гуськова Наталья,Великолепная майка за свои деньги,F,5
336,5,Масляева  Марина,На свой 44  46 заказала 46  идеально  Не сильно вобтяг  цвет как на фото  материал приятный да и за такую цену  круть  советую,F,23
337,4,Раянова Гюзель,Стильно смотрится  Цвет приятный  телесный,F,5
338,5,Мадина,Хорошая футболка  качество супер  размер в размер,F,7
339,5,Ольга,Отличная по качеству футболка  идет в размер  но модель короткая по длине  мне не подошла ,F,15
340,5,Юлия,Не плохая за такую цену,F,5
341,5,Наталья,Хорошая кофточка  базовая модель  приятная к телу ,F,7
342,5,Чернявская Татьяна,Плотная ткань  приятная к телу  Идёт размер в размер ,F,9
343,5,Багтира,Отличный материал  хорошо сидит  взяла в 3х цветах,F,8
344,4,елена,Плотна  но крой смотрится очень странно  если бы она была длиннее было бы лучше,F,14
345,5,Татьяна,На 42  44 заказала 44  S  очень тесно  к сожалению возврат  Качество хорошее  плотный трикотаж  Рекомендую  но если не любите в обтяг лучше на размер больше заказывать ,F,27
346,5,Загоруйко Ирина,Очень хорошая футболочка 👌,F,4
347,5,Маннанова Оксана,Отличный вариант в офис  села прекрасно  к покупке однозначно 👍,F,10
348,5,Ирина,Цена соответствует качеству  Ношу 48  почииала отзывы и заказала 46  зря  ооочень тесновато  но оставила  до лета похудею 😂😂😂,F,19
349,5,Екатерина,Базовая футболка под пиджак  Пошита аккуратно  соответствует описанию  На свой 44 взяла 46  чтобы было не в обтяжку  Села как на модели ,F,22
350,4,Надя,За такую цену на повседневку неплохо ткано плотная  Размер соответствует,F,10
351,5,Мария,Супер,F,1
352,5,Siranush,Качество хорошее  размер совпадает,F,4
353,5,Ильясова Ольга,Блузка в размер  приятная к телу  очень понравилась,F,8
354,5,Цыганкова Ирина,Приятная ткань,F,2
355,5,Наталия,Очень удобно и красиво в офис,F,6
356,4,Марина,Не подошёл цвет и посадка,F,5
357,3,Татьяна Лукьянова,Описанию соответствует  качество соответствует цене,F,5
358,5,Татьяна,👍🏻 классная базовая кофточка  приятная к телу,F,7
359,3,Алексеевна Юлия,Хорошее качество  но мне не подошла по размеру  Буду возвращать ,F,10
360,5,Коваленко Елена,Блуза красивая  хороший состав 65  вискозы 28  полиамида и 7  акрила  плотная  вырез необычный  Ростовка на 170см  На 50р брала 52 р  сел идеально не впритык и не балахоном  довольна  рекомендую 👍👍👍 Со скидкой  это находка  Спасибо Ламода за сюрпризы 🤩,F,41
361,5,Наталья,Прекрасная базовая футболка под пиджак или кардиган ,F,7
362,5,Вахрамеева Анна,Кофточка по качеству супер  размеру соответствует  села идеально  Очень понравилась ,F,10
363,5,Елена,Интересный крой горловины  У меня ничего не заворачивается  Идёт в размер  Идеально села  Цена вообще супер,F,16
364,2,Анджелика,Не понравилась как сидит,F,4
365,5,Лилиана,Очень хорошенькая  нужная в гардеробе  пастельного цвета кофточка  В размер  Не обтягивает фигуру  Фото соответствует действительности  И дажжжж под дресс  код в офис  самое то 👌,F,26
366,5,дружкова  надежда,Очень хорошо 👍,F,3
367,5,Олеся,Размер в размер  подойдет и под пиджак  и можно носить просто как футболку летом ,F,14
368,5,Татьяна,Блузка под пиджак отличная  Идет размер в размер  Цвет универсальный  подходит под многое ,F,13
369,5,Юлия,Цвет соответствует  качество хорошее  Но не угадала с размером  заказывала 46  нужно было заказать на размер больше ,F,17
370,5,ольга,Хорошая кофточка по пиджак  Понравилось  Размер в размер ,F,8
371,5,Эля,Футболка качественная  понравилась  Абсолютно не маломерит  как писали ранее  Скорее наоборот небольшой оверсайз засчёт кроя ,F,15
372,5,Анастасия,Хорошая футболочка красивый приятный принт,F,5
373,5,Алина,Заказывала дочке  Ей нравится,F,4
374,5,Воробьева Аня,Понравилась футболка  маломерит на 50 брала 52  54 села отлично ,F,10
375,5,Владислав,Заказал девушке  по размеру подошла довольна  рекомендую ,F,7
376,5,Лиана,Хорошее качество футболки  Свободный крой  Размер в размер,F,8
377,5,Александра,Футболка обычная  идет размер в размер ,F,6
378,5,Кристина,Размер в размер  Хорошо сидит,F,5
379,5,Дарья,Качественно сшито  размер в размер ,F,5
380,5,Александр,TH как всегда великолепен 👍🏻,F,5
381,5,Дарья,Футболка очень качественная  отлично сидит на мой S  Но есть подозрения  что подделка ,F,13
382,5,Елена,👍,F,1
383,5,Тамара,Футболка из очень хорошей плотной ткани  Ношу каждый день  идеально ,F,10
384,5,Ирина,Хорошая базовая футболка,F,3
385,5,Надежда,Качество отличное  на свой 42 взяла 42  44  села  как на картинке  рисунок ровный  все бирки на месте ,F,18
386,5,Ирина,Очень крутое качество  приятная к телу  идёт размер в размер  отличная базовая футболка,F,13
387,5,Анна,В размер Качество 👍🏼,F,4
388,5,Владислав,Отличное качество,F,2
389,5,Aysel,Все понравилось  единственное не нравится  что нет фирменного пакетика или упаковки,F,11
390,5,Инна,Качество 👍🏻,F,2
391,5,Мария,Качество супер 😍,F,3
392,5,Амаля,👍🏻,F,1
393,5,екатерина,Качество супер  Я прям в восторге,F,6
394,5,Екатерина,Стильная футболка  понравилась,F,3
395,5,Татьяна,Качественна вещь,F,2
396,5,таня,👍🏼❤️,F,1
397,5,Ирина,Брала на выбор M и L  На свой 44 оставила L  Вот именно этот размер на мне выглядит как на модели на фото  свободно как мужская  чего я и хотела  Спасибо ,F,31
398,5,Арина,В этой футболке идеально все ,F,5
399,5,Людмила,Понравилась  люблю такие,F,3
400,4,Екатерина,идеальная но надпись косо вышита,F,5
401,5,Анна,Качественная футболка  идёт размер в размер  все швы аккуратные  приятная к телу,F,12
402,5,Татьяна,Футболка мне понравилась  качество хорошее  Претензий не имею  очень довольна товаром и качеством обслуживания  Спасибо,F,15
403,5,Анна,Стильная футболка  Качество хорошее,F,4
404,5,Irina,Стильно и дорого смотрится ,F,4
405,5,Екатерина,Футболка красивая  прямого кроя  соответствует картинке ,F,6
406,5,Полина,Удобная,F,1
407,5,Дарья,Отличная базовая вещь,F,3
408,5,ВИКТОРИЯ,Хорошая футболка  плотный трикотаж  Чуть коротковата,F,6
409,5,Марина,👍🏼👍🏼👍🏼,F,1
410,5,Анастасия,Классная качественная плотная футболка  держит Форму и смотрится достойно,F,9
411,5,Мария,Хорошая базовая футболка,F,3
412,4,Anastasia,Хорошая  чуть больше,F,3
413,5,Суворова Надежда,👍,F,1
414,5,Евгения,Хорошая футбол ка  не просвечивает,F,5
415,4,Ольга,Качество хорошее  коротковата немного,F,4
416,5,Виктория,Хорошая плотная футболка,F,3
417,5,ирина,Нормик,F,1
418,5,Ольга,Плотная добротная футболка  После стирки не теряет форму  Отличное приобретение ,F,10
419,5,Филимонова  Надежда,Хорошего качества ,F,2
420,5,Елена,Белисима грация,F,2
421,5,Александра,Отличная базовая футболка  не просвечивает,F,5
422,5,лилия,👍🏻,F,1
423,5,Анастасия,Мягкая Базовая футболка,F,3
424,5,К,👍🏻,F,1
425,5,Юлия,Базовая хорошая футболка,F,3
426,4,Зуйкова Анастасия,Плотная  свободная  снизила звезду потому что пришла с пятнами,F,9
427,5,Яна,Классная  плотная ,F,2
428,5,Анастасия,Отличная базовая футболка  На свой 44 размер взяла 12  чтоб был оверсайз  10 маловат,F,14
429,5,Катерина,Выкупила ,F,1
430,5,Елена,👌,F,1
431,5,Лариса,Плотная футболка в размер,F,4
432,5,Андрей,Идеальное качество  рекомендую к покупке ,F,5
433,5,Анастасия,Классная,F,1
434,5,Ирина,Футболка супер  качественная ткань  в меру плотная  сидит отлично  на xs  размер 6 подходит ,F,14
435,5,Елена,Отличная базовая футболка  Качество хорошее  Плотная ткань ,F,7
436,5,Албена,Классная футболка 👍 не в обтяжку  плотная ткань,F,8
437,3,Галина,Обычная белая  на сезон,F,4
438,5,Юлия,Хорошая базовая футболка  Отличное качество 👍,F,6
439,5,Наталия,супер,F,1
440,5,Серафима,Отличная базовая футболка  Качество хорошее ,F,5
441,5,Ольга,👍,F,1
442,5,Елена,Хорошая базовая футболочка  к сожалению не прочитала отзывы  действительно большемерит  Причём большемерит по ширине  т  е  в плечах все норм  тавот по ширине как минимум на пару размеров  К сожалению отказ ,F,31
443,4,Наталья,Качество неплохое  была белоснежная  от стирки немного пожелтела  горловина слегка вытянулась,F,11
444,5,я Наталь,Качество отличное  После стирки не потеряла форму  На жаркое лето немного плотновата  Размер соответствует,F,14
445,5,Стадник Александра,Хорошая базовая футболка,F,3
446,5,Алиса,Отличная базовая футболка  Ткань плотная  не просвечивает ,F,7
447,5,Елизавета,Хорошая плотная футболка,F,3
448,5,Алла,Качество ткани суперское  посадка в плечах то что нужно  посоветовала подружкам  тоже купили ,F,13
449,5,Анастасия,Отличная футболка,F,2
450,5,елена,👍,F,1
451,5,Садовская Наталья,Заказала на параметры рус  58 размера 56  размер подошёл  Качество отличное ,F,11
452,5,Ульянова Ксения,Заказала свекрови  но оставила себе  как овесайз  Очень понравилась  Качественно все ,F,11
453,5,Светлана,Отличная футболка  Очень люблю ее  Спасибо  Фасон свободный,F,8
454,4,Леся,Футболка непогана  трикотаж плотненький  можна було взяти на розмір менше ,F,10
455,5,Юлия,Отличная базовая  белая футболка из плотного хлопка  Взяла XXL  52  размер  на объем груди 119 см  Сидит не  впритык  а свободно  В принципе можно было и на размер меньше взять  тоже сидела бы свободно ,F,34
456,4,Елена,Смотрится красиво  но колется шов вокруг декольте  Поэтому не выкупила ,F,10
457,5,Ольга,Смотрится здорово 👍👌,F,3
458,5,Ксения,Качественная футболка  хорошо смотрится  оставила,F,5
459,5,Марика,Очень красивая блуза  качественная ,F,4
460,5,Виктория,Очень красивая и качественная  покупкой довольна ,F,6
461,5,Елена,Очень красивая футболка  Прекрасно смотрится  Единственно  металлические пайетки по вырезу горловины  возможно будут покалывать кожу  но не факт  Лето покажет  А так  супер,F,23
462,5,Дарья Гурина,Хорошая футболка  приятная ткань  Мне понравилась,F,6
463,5,Мумина,Отличная футболка для занятий 👍🏻,F,5
464,5,Полина,По размеру  цвет нежный,F,4
465,5,татьяна,Синтетика да но норм качества,F,5
466,5,Jf Rahat,Футболка суперская  ворот прекрасен  ткань приятная  хоть и синтетика  не электролизуется 🙃,F,12
467,4,Надежда,Хорошая,F,1
468,5,Екатерина,Сидит отлично  Когда увидела  подумала что оверсайз  но футболка просто длинная  Цвет приятный  надпись классная  Размер в размер,F,18
469,5,Татьяна,Отличное качество  размер в размер,F,5
470,4,Филатова Ирина,Белый цвет  не белый  оттенок какой  то сероватый  А так хорошая базовая вещь была бы,F,15
471,5,Ника,Отличная базовая футболка  Именно то  что искала ,F,7
472,5,Анна,Хорошая футболка,F,2
473,3,Валентина,Просвечивается  идёт в размер,F,4
474,5,наталья,Хорошая футболка до разнообразия ,F,4
475,4,евгения,Прослеживается  оставила для дома,F,4
476,5,цыренова Саяна,👍,F,1
477,3,Ахмадова Роза,Смотрится хорошо  но очень синтеческая,F,5
478,5,Ирина,Хорошая качественная футболка идёт в размер,F,6
479,5,Наталья,Дома ходить хорошо,F,3
480,5,Олеся,Хорошая футболка  ткань немного просвечивает ,F,5
481,5,Екатерина,Мягкая  легкая и красивая футболка на лето  И под джинсы и под брюки ,F,13
482,5,Елена,Хорошая футболка,F,2
483,5,Черданцева Татьяна,Качество хорошее  немного просвечивает ,F,4
484,5,Ольга,Понравилась  цвет супер  приятная к телу  лёгкая  В жизни лучше  советую ,F,11
485,5,Анастасия,Хорошая базовая футболка,F,3
486,5,Ольга,За свои деньги  шикарная футболка  качество и фасон хорошие ,F,9
487,5,Кристина,В реале цвет немного отличается  Пошив качественный  Оставила ,F,8
488,5,Татьяна,Качество супер  цвет как на картинке идёт в размер,F,9
489,4,Татьяна,Хорошая идёт в размер,F,4
490,5,Анастасия,Материал чуть просвечивает  Не критично  Рисунок плотный  думаю надолго и трескаться не будет  На свои параметры 94  76 заказала 46 размер  Сидит свободно ,F,23
491,5,Наталия,Качество хорошее  размер L подошёл на 46 размер,F,8
492,5,Елена,Мягкая  приятная  красивый цвет и принт,F,6
493,5,Анастасия,Качество хорошее  Рисунок после стирки не изменился ,F,7
494,5,ольга,понравилась  если со скидкой  качество хорошее  чуть свободноватый крой  сидит хорошо  не в обтяг,F,14
495,5,олеся,Хорошая  базовая футболка,F,3
496,5,Ольга,Очень приятный и качественный материал,F,5
497,5,Анна,Смотрится неплохо,F,2
498,4,Оксана,Хорошая  но чуть маломерит и просвечивает  Но на тело очень приятно и картинка шелкография,F,14
499,3,Анастасия,Футболка хорошая  но наклейка сводит все качество на нет,F,9
500,5,Мария,Отличное качество,F,2
501,5,ольга,Отличная молодежная футболка  качество хорошее  все выполнено аккуратно,F,8
